concept_id,n_positions,evr_pc1,evr_pc2,evr_pc3,evr_pc4,evr_pc5,evr_pc6,evr_pc7,evr_pc8,evr_pc9,evr_pc10,cum_pc1_1,cum_pc1_2,cum_pc1_3,cum_pc1_4,cum_pc1_5,cum_pc1_6,cum_pc1_7,cum_pc1_8,cum_pc1_9,cum_pc1_10
0,20,0.263384,0.146692,0.101120,0.072917,0.057364,0.049713,0.045791,0.041811,0.038343,0.027299,0.263384,0.410076,0.511197,0.584114,0.641478,0.691191,0.736981,0.778792,0.817136,0.844435
1,16,0.222939,0.130988,0.104075,0.078176,0.077012,0.070329,0.065926,0.053326,0.039266,0.034680,0.222939,0.353927,0.458001,0.536178,0.613190,0.683519,0.749445,0.802771,0.842038,0.876718
2,19,0.300312,0.184844,0.094985,0.075513,0.060924,0.040720,0.034953,0.033520,0.026010,0.024278,0.300312,0.485157,0.580141,0.655655,0.716579,0.757299,0.792252,0.825772,0.851782,0.876059
3,25,0.237326,0.138038,0.089365,0.059264,0.045398,0.043139,0.038781,0.034464,0.032935,0.029695,0.237326,0.375363,0.464728,0.523993,0.569390,0.612529,0.651311,0.685775,0.718709,0.748404
4,17,0.250722,0.100018,0.089534,0.076140,0.072186,0.060295,0.057239,0.047846,0.046458,0.041388,0.250722,0.350740,0.440274,0.516414,0.588600,0.648896,0.706135,0.753981,0.800439,0.841827
5,19,0.215841,0.178714,0.096416,0.074987,0.062697,0.056709,0.048392,0.041927,0.034918,0.029724,0.215841,0.394556,0.490972,0.565959,0.628656,0.685365,0.733757,0.775684,0.810602,0.840326
6,20,0.361930,0.139982,0.078771,0.059065,0.045238,0.042766,0.040768,0.037790,0.030406,0.026787,0.361930,0.501912,0.580683,0.639748,0.684986,0.727752,0.768520,0.806310,0.836716,0.863503
7,19,0.262181,0.148689,0.092635,0.084465,0.063378,0.053786,0.044255,0.036212,0.035060,0.030958,0.262181,0.410869,0.503505,0.587970,0.651347,0.705134,0.749389,0.785600,0.820660,0.851619
8,16,0.206095,0.120335,0.100012,0.082518,0.081169,0.067344,0.058825,0.049892,0.048664,0.045473,0.206095,0.326430,0.426442,0.508960,0.590129,0.657472,0.716297,0.766189,0.814852,0.860325
9,20,0.183625,0.134525,0.097037,0.084757,0.062452,0.057140,0.049027,0.046205,0.042564,0.040460,0.183625,0.318150,0.415187,0.499943,0.562396,0.619535,0.668562,0.714767,0.757331,0.797791
10,27,0.162122,0.110650,0.081484,0.069036,0.052041,0.047737,0.043480,0.041080,0.039017,0.033642,0.162122,0.272771,0.354255,0.423291,0.475332,0.523069,0.566549,0.607629,0.646646,0.680288
11,24,0.179931,0.125274,0.095248,0.075031,0.065176,0.053661,0.045799,0.039533,0.038059,0.033761,0.179931,0.305205,0.400452,0.475483,0.540659,0.594320,0.640119,0.679652,0.717711,0.751472
12,23,0.166881,0.139363,0.125379,0.082961,0.067719,0.051778,0.048356,0.042374,0.033554,0.029055,0.166881,0.306244,0.431623,0.514584,0.582302,0.634080,0.682437,0.724811,0.758365,0.787420
13,19,0.193536,0.149427,0.085135,0.077478,0.074690,0.060205,0.046773,0.046154,0.043413,0.037742,0.193536,0.342964,0.428098,0.505576,0.580266,0.640471,0.687244,0.733398,0.776811,0.814553
14,22,0.179824,0.149224,0.094759,0.086527,0.065783,0.060947,0.054340,0.046253,0.041563,0.038777,0.179824,0.329048,0.423807,0.510334,0.576117,0.637064,0.691403,0.737656,0.779219,0.817996
15,19,0.259343,0.130411,0.091748,0.079546,0.071899,0.054126,0.045792,0.041215,0.035783,0.031902,0.259343,0.389754,0.481502,0.561048,0.632947,0.687073,0.732864,0.774079,0.809862,0.841764
16,25,0.307904,0.132649,0.088062,0.057363,0.049140,0.044262,0.036245,0.033688,0.027021,0.025923,0.307904,0.440554,0.528616,0.585979,0.635119,0.679381,0.715626,0.749314,0.776335,0.802258
17,24,0.149382,0.134457,0.110865,0.087977,0.057031,0.053218,0.044733,0.040963,0.032276,0.030475,0.149382,0.283839,0.394704,0.482681,0.539712,0.592930,0.637664,0.678627,0.710902,0.741377
18,21,0.235824,0.198994,0.082200,0.072917,0.064708,0.058559,0.045064,0.040800,0.032946,0.025864,0.235824,0.434818,0.517018,0.589935,0.654643,0.713202,0.758266,0.799065,0.832012,0.857876
19,17,0.249550,0.148677,0.104339,0.082308,0.064412,0.059886,0.049297,0.045455,0.041788,0.035477,0.249550,0.398227,0.502567,0.584874,0.649286,0.709172,0.758468,0.803923,0.845711,0.881188
