concept_id,n_positions,evr_pc1,evr_pc2,evr_pc3,evr_pc4,evr_pc5,evr_pc6,cum_pc1_1,cum_pc1_2,cum_pc1_3,cum_pc1_4,cum_pc1_5,cum_pc1_6
0,16,0.254466,0.115796,0.107063,0.081443,0.079278,0.071140,0.254466,0.370261,0.477324,0.558767,0.638044,0.709184
1,14,0.277878,0.105206,0.099169,0.092292,0.084749,0.075054,0.277878,0.383084,0.482254,0.574546,0.659295,0.734349
2,17,0.227160,0.211848,0.100189,0.089033,0.071988,0.045490,0.227160,0.439009,0.539198,0.628231,0.700219,0.745709
3,23,0.211198,0.133740,0.073383,0.055628,0.053689,0.048027,0.211198,0.344938,0.418321,0.473949,0.527639,0.575666
4,16,0.265224,0.106220,0.085552,0.081086,0.072799,0.063890,0.265224,0.371444,0.456996,0.538082,0.610881,0.674771
5,18,0.231139,0.190177,0.091381,0.073586,0.067185,0.056357,0.231139,0.421315,0.512696,0.586283,0.653468,0.709824
6,19,0.328318,0.151234,0.085741,0.057272,0.049205,0.046691,0.328318,0.479552,0.565293,0.622565,0.671770,0.718461
7,18,0.280125,0.161306,0.093722,0.071556,0.062508,0.051860,0.280125,0.441432,0.535154,0.606710,0.669218,0.721078
8,15,0.230320,0.111806,0.095744,0.090843,0.080767,0.067276,0.230320,0.342126,0.437870,0.528713,0.609480,0.676755
9,19,0.169942,0.116596,0.101052,0.092347,0.068123,0.062164,0.169942,0.286538,0.387589,0.479936,0.548059,0.610223
10,24,0.147648,0.117449,0.087318,0.068945,0.051299,0.050166,0.147648,0.265097,0.352415,0.421360,0.472659,0.522825
11,24,0.179931,0.125274,0.095248,0.075031,0.065176,0.053661,0.179931,0.305205,0.400452,0.475483,0.540659,0.594320
12,22,0.166144,0.137465,0.120849,0.085272,0.068859,0.054284,0.166144,0.303609,0.424458,0.509730,0.578589,0.632873
13,18,0.180457,0.145694,0.092510,0.084239,0.073626,0.059370,0.180457,0.326151,0.418661,0.502900,0.576525,0.635895
14,22,0.179824,0.149224,0.094759,0.086527,0.065783,0.060947,0.179824,0.329048,0.423807,0.510334,0.576117,0.637064
15,18,0.277899,0.111768,0.091850,0.084171,0.070548,0.054049,0.277899,0.389667,0.481517,0.565688,0.636236,0.690285
16,23,0.279938,0.146173,0.089002,0.062293,0.052912,0.047200,0.279938,0.426111,0.515114,0.577406,0.630318,0.677518
17,23,0.148513,0.141382,0.105389,0.088424,0.059462,0.051914,0.148513,0.289895,0.395284,0.483708,0.543170,0.595084
18,19,0.264206,0.161078,0.085112,0.078281,0.074011,0.062528,0.264206,0.425284,0.510395,0.588676,0.662687,0.725215
19,16,0.244619,0.123973,0.117100,0.092818,0.071482,0.067287,0.244619,0.368593,0.485693,0.578511,0.649994,0.717281
20,16,0.245812,0.115765,0.099479,0.081791,0.076030,0.064962,0.245812,0.361577,0.461055,0.542847,0.618877,0.683839
21,13,0.313674,0.148845,0.105295,0.098928,0.061917,0.050770,0.313674,0.462519,0.567814,0.666742,0.728659,0.779430
22,17,0.246543,0.186328,0.098994,0.080841,0.076650,0.050057,0.246543,0.432871,0.531864,0.612706,0.689355,0.739412
23,20,0.216060,0.141537,0.094391,0.083945,0.062262,0.056301,0.216060,0.357596,0.451988,0.535932,0.598194,0.654495
24,20,0.204982,0.154131,0.075753,0.074034,0.067613,0.058872,0.204982,0.359112,0.434866,0.508900,0.576512,0.635385
25,16,0.249271,0.173250,0.091256,0.076148,0.066730,0.060341,0.249271,0.422521,0.513777,0.589925,0.656655,0.716996
26,18,0.307608,0.112330,0.089222,0.077603,0.068375,0.055057,0.307608,0.419938,0.509160,0.586763,0.655139,0.710195
27,19,0.202441,0.156510,0.104861,0.082377,0.064215,0.056354,0.202441,0.358951,0.463812,0.546189,0.610405,0.666759
28,17,0.207417,0.156571,0.095942,0.077447,0.067753,0.062242,0.207417,0.363988,0.459930,0.537377,0.605130,0.667371
29,20,0.241232,0.155270,0.092558,0.076727,0.053941,0.047816,0.241232,0.396501,0.489060,0.565787,0.619728,0.667544
30,22,0.249636,0.114121,0.089806,0.065162,0.062989,0.055325,0.249636,0.363757,0.453564,0.518726,0.581715,0.637040
31,19,0.202932,0.186197,0.076871,0.075294,0.059096,0.054449,0.202932,0.389129,0.466000,0.541294,0.600390,0.654839
32,22,0.168494,0.115229,0.095162,0.078229,0.071295,0.057710,0.168494,0.283723,0.378885,0.457114,0.528409,0.586118
33,18,0.209085,0.157469,0.092998,0.068922,0.062479,0.061341,0.209085,0.366554,0.459552,0.528474,0.590954,0.652295
34,18,0.186095,0.162161,0.094539,0.084429,0.068516,0.060960,0.186095,0.348256,0.442794,0.527223,0.595739,0.656699
35,22,0.190889,0.125327,0.081401,0.072586,0.068490,0.060873,0.190889,0.316216,0.397617,0.470203,0.538693,0.599566
36,18,0.216256,0.167477,0.095867,0.083650,0.069226,0.057788,0.216256,0.383733,0.479600,0.563250,0.632476,0.690264
37,19,0.211567,0.142335,0.096019,0.092566,0.071618,0.056846,0.211567,0.353901,0.449921,0.542487,0.614104,0.670950
38,13,0.283989,0.139454,0.113353,0.098775,0.064384,0.052597,0.283989,0.423443,0.536796,0.635571,0.699956,0.752553
39,14,0.279362,0.114635,0.095196,0.083930,0.077093,0.066673,0.279362,0.393996,0.489193,0.573123,0.650216,0.716889
40,22,0.206955,0.173866,0.128699,0.084495,0.058015,0.055278,0.206955,0.380822,0.509520,0.594015,0.652030,0.707308
41,17,0.279715,0.183481,0.104193,0.065239,0.057992,0.053853,0.279715,0.463195,0.567388,0.632627,0.690618,0.744472
42,18,0.210462,0.199396,0.092964,0.071004,0.062871,0.050406,0.210462,0.409858,0.502822,0.573826,0.636697,0.687103
43,16,0.272076,0.185167,0.100184,0.072400,0.063036,0.057831,0.272076,0.457243,0.557427,0.629827,0.692863,0.750693
44,18,0.239802,0.121017,0.101597,0.081162,0.076243,0.059236,0.239802,0.360819,0.462416,0.543578,0.619821,0.679058
45,17,0.222971,0.194076,0.081736,0.074342,0.057064,0.053495,0.222971,0.417048,0.498783,0.573125,0.630190,0.683684
46,21,0.177175,0.130955,0.095977,0.086718,0.062335,0.059202,0.177175,0.308130,0.404107,0.490825,0.553160,0.612362
47,19,0.216838,0.176688,0.097974,0.075333,0.053883,0.048983,0.216838,0.393526,0.491500,0.566833,0.620716,0.669699
48,18,0.229870,0.177688,0.088654,0.073961,0.063358,0.055739,0.229870,0.407558,0.496212,0.570173,0.633531,0.689269
49,21,0.225579,0.164712,0.107570,0.075323,0.062368,0.045531,0.225579,0.390291,0.497862,0.573184,0.635553,0.681083
